브랜드,의류코드,리뷰,별점,작성일
모드나인,1037219,,0,24.10.24
모드나인,1037219,옷 자체는 괜찮은데 냄새가 너무 심하고 안빠집니다,0,24.10.13
모드나인,1037219,사이즈 딱 입니다~<br>역시 명작 펑크타운!^^,0,24.10.11
모드나인,1037219,,0,24.09.22
모드나인,1037219,진청 청바지 정착하고 싶어서 찾아보다가 모드나인 구매했습니다 색감 예쁘고 재질 좋고 내구성도 짱짱합니아<br>감사합니아!,0,24.09.16
모드나인,1037219,옷 자체는 괜찮은데 냄새가 너무 심하고 안빠집니다,0,24.10.13
모드나인,1037219,사이즈 딱 입니다~<br>역시 명작 펑크타운!^^,0,24.10.11
모드나인,1037219,,0,24.09.22
모드나인,1037219,진청 청바지 정착하고 싶어서 찾아보다가 모드나인 구매했습니다 색감 예쁘고 재질 좋고 내구성도 짱짱합니아<br>감사합니아!,0,24.09.16
모드나인,1037219,런스타 하이크<br>모드나인 펑크타운 30사이즈<br>허벅돼 입니다!,0,24.09.06
모드나인,1037219,바지상표 이상없다더니 교체해서 주셨네요<br>이상없어서 5천원 교환배송비 달라하더니<br>더 적으려해도 막아둬서 말을못하겠네요,1,22.10.07
모드나인,1037219,로고 검수 안 하고 보내시죠?...더보기<br>로고 검수 안 하고 보내시죠?...더보기,1,22.08.23
모드나인,1037219,구매한지 세달이 지났는데 청바지 특유의 냄새가 안빠져서 못 입고 있어요. 햇빛과 바람이 잘드는 베란다에<br>두달이상 내놨고 냉동실에 넣으면 효과가 있다길래 넣어놨는데 냄새는 그대로네요. 제 제품이 불량인건가요 ?<br>시간지나면 빠지겠지 하면서 베란다에 있는 청바지 볼때마다 페브리즈 종류 여러개 바꿔가며 뿌렸는데...더보기,1,22.03.21
모드나인,1037219,상품 사진과는 색깔이 좀 많이 다름.<br>상품이 배송왔는데 교환상품이 온 듯<br>얼룩이 묻은건지...더보기,1,22.03.09
모드나인,1037219,생각보다 색도 연하구 통이 너무커서 그럭저럭이네요,1,22.02.23
모드나인,1037219,워싱이랑 원단이 너무 별로<br>모드나인도 예전같지 않네요<br>퀄리티 급저하 된 듯,1,22.01.23
모드나인,1037219,개작아요.. 평소 29-30입는데 이건 31임에도 29느낌에 걍 전체적으로 다 조임,1,22.01.06
모드나인,1037219,상품 사진과는 색깔이 좀 많이 다름.<br>상품이 배송왔는데 교환상품이 온 듯<br>얼룩이 묻은건지...더보기,1,22.03.09
모드나인,1037219,생각보다 색도 연하구 통이 너무커서 그럭저럭이네요,1,22.02.23
모드나인,1037219,워싱이랑 원단이 너무 별로<br>모드나인도 예전같지 않네요<br>퀄리티 급저하 된 듯,1,22.01.23
모드나인,1037219,개작아요.. 평소 29-30입는데 이건 31임에도 29느낌에 걍 전체적으로 다 조임,1,22.01.06
모드나인,1037219,가죽 패치가 아니라 좀 아쉽네요 무슨 탭인지 모르겠는데 불편해서 그냥 띠고 입어요 퀄리티가 이번건 별루인거<br>같아요 예전 느낌이 아닌데 입을게 없어 입어야겠어요...,1,21.12.11
모드나인,1037219,가죽 패치가 아니라 좀 아쉽네요 무슨 탭인지 모르겠는데 불편해서 그냥 띠고 입어요 퀄리티가 이번건 별루인거<br>같아요 예전 느낌이 아닌데 입을게 없어 입어야겠어요...,1,21.12.11
모드나인,1037219,174/73 32 사이즈 잘 맞아요<br>평소 31-32 입습니다,1,21.07.23
모드나인,1037219,좋음좋음 괜춘한듯?ㅎㅎ<br>ㄱㄴㄷㄻㅇㅈㅊㅋㅌㄵㄷ잘 모르겠어요<br>괜찮은듯합니다.ㅇ라아,1,21.05.28
모드나인,1037219,사이즈 색상 다 맘에드나 엉덩이라인에 빨간라벨(?)이 불량임 귀찮아서 입겠습니다,1,21.05.13
모드나인,1037219,한번 빨았는데 바지 왼쪽부분이 이렇게 돌아갔습니다.<br>빨았다고 이렇게 된거 같진 않은데 ...,1,21.04.07
모드나인,1037219,배송 최악입니다<br>하나는 제대로 왔는데<br>하나는 왠 속초에 있네요,1,21.01.22
모드나인,1037219,색깔이랑 재질 모두 사진이랑 똑같이 원하는대로네여 잘입겠습니다^^,1,20.11.23
모드나인,1037219,색깔이랑 재질 모두 사진이랑 똑같이 원하는대로네여 잘입겠습니다^^,1,20.11.23
모드나인,1037219,한번 빨았는데 바지 왼쪽부분이 이렇게 돌아갔습니다.<br>빨았다고 이렇게 된거 같진 않은데 ...,1,21.04.07
모드나인,1037219,배송 최악입니다<br>하나는 제대로 왔는데<br>하나는 왠 속초에 있네요,1,21.01.22
모드나인,1037219,색깔이랑 재질 모두 사진이랑 똑같이 원하는대로네여 잘입겠습니다^^,1,20.11.23
모드나인,1037219,색깔이랑 재질 모두 사진이랑 똑같이 원하는대로네여 잘입겠습니다^^,1,20.11.23
모드나인,1037219,좋아요 허벅지가 조금 두꺼운데 스판이 있어서 불편하지 않네요 아주 마음에 듭니다,1,20.11.18
모드나인,1037219,세일할때 삿는데...후기를 좀 더 꼼꼼히 보고 살껄 싶네요.<br>같은 제품 같은 사이즈인데 누구는 짧다 누구는 길다. 사진으로만 봐도 들쭉날쭉인게 보입니다.<br>걸을때 엉덩이에서 북~북~마찰음이 계속나네요 ㅎ 다른바지는 전부 멀쩡한데 이바지만 유독 그러는걸...더보기,1,20.11.17
모드나인,1037219,최근에 산 청바지중에 최악 무릎튀나옴<br>중고같은 무릎 최악,1,20.11.04
모드나인,1037219,기장이 좀 기네요 조금만 더 짧았으면 했음 바램. 전체적으로 이쁘네요,1,20.11.01
모드나인,1037219,사진이랑 색감다르고 별로에요 환불하려헀는데 포장을 찢업ㅓ렸어요,1,20.10.24
모드나인,1037219,실제랑 사진이랑 좀 달라요<br>실제가 좀 더 밝아요. 참고하서요,1,20.10.19
모드나인,1037219,천 엄청 뻣뻣하고 이미지사진이랑 실제랑 색감차이나요<br>실제가 좀더 밝음,1,20.10.19
모드나인,1037219,색이 사진에 비해 밝아서 밝은중청이구요.<br>펑크타운은 밑위가 길고 엉덩이나 허벅지가커서 그쪽부근은 어벙벙하고 밑단은 좁아서 모내기핏 나옵니다.<br>반품기한놓쳐서 매물처리했어요.,1,20.10.15
모드나인,1037219,디자인은 마음에 드는데 좌우 길이가 좀 많이 다르네요,1,20.10.13
모드나인,1037219,어차피 수선해서 입을 예정이라 반품은 안 할 생각인데 오른쪽이 왼쪽에 비해 너무 길어요 좀 심한거 아닌가요,1,20.10.13
모드나인,1037219,상품이 오지도 않았는데 구매확정 해버리시고 별다른 말씀도 없이 9월28일에 주문했는데 10월8일 현재 물건<br>도착은 커녕 아직도 간선상차 이후 움직임 없는데 장난하시나요 짜증 나는데요?,1,20.10.08
모드나인,1037219,어차피 수선해서 입을 예정이라 반품은 안 할 생각인데 오른쪽이 왼쪽에 비해 너무 길어요 좀 심한거 아닌가요,1,20.10.13
모드나인,1037219,상품이 오지도 않았는데 구매확정 해버리시고 별다른 말씀도 없이 9월28일에 주문했는데 10월8일 현재 물건<br>도착은 커녕 아직도 간선상차 이후 움직임 없는데 장난하시나요 짜증 나는데요?,1,20.10.08
모드나인,1037219,빨갛 가죽탭에서 나온 물이 이염되서 안없어짐<br>의류수거함에 넣어버림 돈버렸네,1,20.10.04
모드나인,1037219,"솔직히생각보다싼티나는워싱,<br>제기준 ㅍㅅㅇㅋ가더나은듯",1,20.10.02
모드나인,1037219,32사이즈에서 33으로 교환했어요<br>교환비 동봉했는데...더보기,1,20.09.21
모드나인,1037219,세탁 한번 했다고 이렇게 되나 다른 옷들도 물들어서 개열받네. 이거 보상 해주세요 이정도면 고객을 호.구. 로<br>보는거 아님? 한번 입고 버리라는 것도 아니고,1,20.08.18
모드나인,1037219,이 바지 처음에는 좋았는데 빨더니 다 빨갛게 되어서 못입겠어요 ㅠㅠ. 원래 바지가 이래요?,1,20.07.21
모드나인,1037219,딱 세일가 수준입니다<br>사이즈 실측은 맞지도 않고<br>워싱도 별로고...더보기,1,20.06.25
모드나인,1037219,사이즈가 작아서 교환 받았는데 별 차이가 없네요 교환 받는데 1주일이나 걸리고 교환 받은건 앞지퍼 부분 워싱<br>대충 돌린듯한 구린게 오고 앞으로 모나에서 바지 살일은 없을듯 가격 내리고 바지퀄까지 떨어진듯 세일가가 딱<br>적정수준인 바지임 정가 다주고 살 바지는 아님,1,20.06.25
모드나인,1037219,세탁하니까 온통 빨건색으로 도배됬습니다.<br>하... 진짜... 언제까지 빠지나볼려고 계속 세탁하는데<br>할때마다 빠지네요. 하...,1,20.06.14
모드나인,1037219,생각보다 크네요! 그리고 제 스타일은 아니에요..<br>사고 입을 일이 없는 듯,1,20.06.02
모드나인,1037219,바지 옆라인이 한쪽만 틀어졌네요 포장은 버려서 교환도 안되네요,1,20.05.24
모드나인,1037219,뒤에 패치 원래 이렇게 비대칭인가요?불량인가ㅜㅜ,1,20.05.13
모드나인,1037219,세탁하니까 온통 빨건색으로 도배됬습니다.<br>하... 진짜... 언제까지 빠지나볼려고 계속 세탁하는데<br>할때마다 빠지네요. 하...,1,20.06.14
모드나인,1037219,생각보다 크네요! 그리고 제 스타일은 아니에요..<br>사고 입을 일이 없는 듯,1,20.06.02
모드나인,1037219,바지 옆라인이 한쪽만 틀어졌네요 포장은 버려서 교환도 안되네요,1,20.05.24
모드나인,1037219,뒤에 패치 원래 이렇게 비대칭인가요?불량인가ㅜㅜ,1,20.05.13
모드나인,1037219,불량교환인데 교환 전 상품보다 더 후진 워싱감에 색감..불량상품 받은 고객 품 확인하고 신경 좀 씁시다.. 아에<br>보도 않고 돌려막기 하지 말고요 .. 거진 3주만에 바지 하나 받네요 또 교환 보내자니 내 시간 아까워서 그냥 입어요<br>싸게사서 ...,1,20.03.13
모드나인,1037219,불량교환인데 교환 전 상품보다 더 후진 워싱감에 색감..불량상품 받은 고객 품 확인하고 신경 좀 씁시다.. 아에<br>보도 않고 돌려막기 하지 말고요 .. 거진 3주만에 바지 하나 받네요 또 교환 보내자니 내 시간 아까워서 그냥 입어요<br>싸게사서 ...,1,20.03.13
모드나인,1037219,불량교환인데 교환 전 상품보다 더 후진 워싱감에 색감..불량상품 받은 고객 품 확인하고 신경 좀 씁시다.. 아에<br>보도 않고 돌려막기 하지 말고요 .. 거진 3주만에 바지 하나 받네요 또 교환 보내자니 내 시간 아까워서 그냥 입어요<br>싸게사서 ...,1,20.03.13
모드나인,1037219,한번 빨았는데 허리 가죽 부분 색 다빠져서 못입게생겼네요,1,20.01.24
모드나인,1037219,리오더전에는 핏이 완벽했는데 리오더된후로는 바지가 너무 커졌네요... 보통 30~31입는데 28입어도 바지가<br>너무 크네요... 바지는 왜 또 이리 파랑파랑한지 여러개 시켜봤는데 개체차이는 생각보다 심하지는 않아요 단지<br>생각보다 너무 청청합니다 좀 어두운느낌이 나길 바랬는데,1,19.11.25
모드나인,1037219,색감이 너무 안나오네요.. 상세페이지랑 좀 다른듯...,1,19.11.23
모드나인,1037219,하체 마른사람 한테는 별로입니다 허벅지넘크게 나왓구 기대이하입니당,1,19.11.18
모드나인,1037219,믿지마시규 저 사진보다 밝아요. 하벅지가 너무 크게 나오네요<br>ㅜㅜ 워싱도 별로고 사진만큼 남들만큼 안찍힌거같은데 하두 많이팔려서 그런건 이해하지만 허벅지<br>얇은사람한테는 별로 핏이 이쁘게 안나옵니다~...더보기,1,19.11.18
모드나인,1037219,워싱도 별로고 왜 인기 많은지 모르겠고 하체얇은사람들이 사면 안될제품이네요 뭐 크게 나왓다는데 그리고<br>많이팔려서 워싱이 안찍혓다 뭐 이런말들 있는데 맞는거같네요 이해는하지만 제체형이 하체가 마른편이라 별로<br>네용 그리고 허리도 좀 작게나오는거같던데...더보기,1,19.11.18
모드나인,1037219,구매자마다 다르겠지만 핏 색상은 이쁨<br>하지만 가격에 비해 이염도 심하고 한번 세탁했는데 뒷주머니 실밥 다 터짐<br>98000원이라는 게 믿기지않음 없어서 못산다는데 왜 그런지 모르겠다. 이게 엄청 유명한 브렌드인가?,1,19.11.10
모드나인,1037219,좋은 개체로 운좋게 받으면 좋은 상품이네요<br>사이즈는 정 사이즈 추천드려요<br>워싱은 복불복이니 마음 졸이지 마시고 기도하시길,1,19.11.02
모드나인,1037219,핏은 좋은데 개체 차이때문에 운좋게 자기한테 맞는 사이즈가 와야<br>하네요 워싱도 좀 제각각 재생산하면서 초판이랑 좀 달라진듯<br>역시 보세 업체라 어쩔수없나봐요,1,19.11.02
모드나인,1037219,정 사이즈로 가세요<br>세일가 6발대로 구매해가 합리적이구요<br>그 이상은 좀 아쉽네요 브랜드를 넘을 수 없는 보세,1,19.11.02
모드나인,1037219,사이즈도 이상해지고 워싱도 제각각이네요<br>운빨인듯 합니다 주문하고 기도하시길<br>보세 바지 답네요 수량 장난은 수준이하구요,1,19.11.02
모드나인,1037219,두께감은 여름에 입기는 힘들겠네요<br>뚝 떨어지는 느낌은 좋네요<br>세일가 보세 바지 그자체,1,19.11.02
모드나인,1037219,세일가로 구매하기는 좋네요<br>보세 바지구요<br>파랑끼가 많이 돌아 다른 옷들이랑 맞춰입기 힘드네요...더보기,1,19.11.02
모드나인,1037219,사이즈는 정 사이즈 그대로 추천드려요<br>워싱은 그냥 운빨인듯.. 무릎발사 덜하네요<br>착용감 편해요 좀 파랑끼가 많이 나네요,1,19.11.02
모드나인,1037219,바지는 기대하시면 실망하실 수도 있는 보세 바지에요<br>워싱 개체 차이 있고 사이즈도 이상하네요<br>수량 장난 치는건 계속되는 정떨어지네요...더보기,1,19.11.02
모드나인,1037219,보세 데님 그 자체<br>세일가로 사야 좋음 정가 ㄴㄴ<br>사이즈는 정 사이즈 ㄱㄱ...더보기,1,19.10.18
모드나인,1037219,바지는 기대하시면 실망하실 수도 있는 보세 바지에요<br>워싱 개체 차이 있고 사이즈도 이상하네요<br>수량 장난 치는건 계속되는 정떨어지네요...더보기,1,19.11.02
모드나인,1037219,보세 데님 그 자체<br>세일가로 사야 좋음 정가 ㄴㄴ<br>사이즈는 정 사이즈 ㄱㄱ...더보기,1,19.10.18
모드나인,1037219,옷은 이쁜데 바지 뒷부분 위에 싸구려 가죽은 도대체 왜 붙여놓은겁니까? 알려주신 세탁법대로 해도 세탁시<br>가죽때문에 바지에 색이 다 묻었습니다 아니 도대체 싸구려 가죽 왜 달아 놓은 겁니까?<br>한두푼 하는 바지도 아닌데 이해가 안가네....,1,19.10.03
모드나인,1037219,세탁후 가죽패치 물빠짐으로 해당 청바지 뿐만 아니라 다른 의류에도 이염이 돼 전부 입지 못하게 됐습니다.,1,19.09.16
모드나인,1037219,이름은 MOD4 CROP인대 전혀 크롭하지않네요<br>크롭으로 키 커보이고싶었는대 이건 키가 작아지는 마술을보여줌 ㅠ 주의하세요 키 174 입니다.,1,19.07.20
모드나인,1037219,종이포장이라서 포장이 뜯겨져 왔어요;; 밑단이 짧아서 핏은 예쁜데 편하진 않아요,2,24.02.03
모드나인,1037219,바지통은 얼추 맞는거 같은데 기장이 엄청 짧아요 32 입어도 짧습니다,2,22.04.17
모드나인,1037219,전에 샀을때보다 바지가 좀더 커졌어요..밑단 통이랑 기장도 더 길어졌어요...<br>작년에 산게 핏이 딱인데 이상해졌네요..,2,22.04.16
모드나인,1037219,치수나 색깔은 무난한테 옷감이 빳빳해서 걸을때마다 엉덩이 쪽에서 무슨 상자 구겨지는 소리나고 제일 최악인건<br>물빠지는거 신발에 파란색 물 다 묻음 비싼신발만 버림 심지어 걸을때 스치기만 한거임 ㄹㅇㅋㅋ만쳐라 그냥~,2,22.03.31
모드나인,1037219,허리는 살짝 큰데 허벅지는 딱 맞아요 한 치수 작은 건 너무 끼더라고요 핏 이쁩니다,2,21.11.16
모드나인,1037219,핏. 색감은 정말 만족했습니다.<br>근데 뒷부분 마감처리가... 이상하게 되어있어있네요..,2,21.10.31
모드나인,1037219,"그냥 저냥 입을만한데, 상품평 입력하는게 까다롭네요?",2,21.10.12
모드나인,1037219,통이 갈수록 힘하게 좁아져서 일자로 이쁜 핏이 안나오고 어정쩡한 핏이 나오네요 ㅠㅜ<br>사이즈도 생각보다 작아요,2,21.10.09
모드나인,1037219,핏. 색감은 정말 만족했습니다.<br>근데 뒷부분 마감처리가... 이상하게 되어있어있네요..,2,21.10.31
모드나인,1037219,"그냥 저냥 입을만한데, 상품평 입력하는게 까다롭네요?",2,21.10.12
모드나인,1037219,통이 갈수록 힘하게 좁아져서 일자로 이쁜 핏이 안나오고 어정쩡한 핏이 나오네요 ㅠㅜ<br>사이즈도 생각보다 작아요,2,21.10.09
모드나인,1037219,초판보다 색감이 많이 파래졌네요<br>평소 허리 31-32인데 32 잘 맞습니다,2,21.07.18
모드나인,1037219,초판보다 색감이 많이 변했네요<br>푸른빛이 많이 돕니다,2,21.07.18
모드나인,1037219,핏은 좋습니다. 무릎발사는 있구요. 다만 제품 검수가 꼼꼼했으면 좋겠는데 이미 입기도해서 교환은 안되지만 뭐가<br>묻어있고 택은 불량(?)이고.. 조금 아쉽긴해요. 그래도 좋습니다.,2,21.05.03
모드나인,1037219,제품어디에도 사이즈기재가안되어있네요<br>실측해보니 주문한거랑 다르게온거같은데 일단 작습니다,2,21.05.01
모드나인,1037219,청바지깔끔해서 좋네요 무릎이 약간나오긴해여,2,21.03.17
모드나인,1037219,무릎발사 때문인지 바지 제봉선이 돌아갔네요..ㅠ 핏이 이상해졌어요..,2,21.03.03
모드나인,1037219,허벅지 단면길이 29인것만 믿고 샀는데 28도채 안되는게 왔네요; 너무꽉껴서 동생줬어요 색감이나 재질은<br>좋습니다.,2,21.02.17
모드나인,1037219,허벅지 단면길이 29인것만 믿고 샀는데 28도채 안되는게 왔네요; 너무꽉껴서 동생줬어요 색감이나 재질은<br>좋습니다,2,21.02.17
모드나인,1037219,모드나인을 좋아해서 5년가량 열벌정도 사서 입고있고 초창기 사무실에 샘플세일때도 가고 자주 애용하는데 일이<br>바빠 시켜놓고 거의 두달여만에 착용했는데 불량인지 바지길이가 짝짝이네요... 저한텐 기장도 너무 짧구요<br>교환이나 환불도 못하고 그냥 주변 친구한테 줘야겠어요. 믿고 입는 브랜드였는데 다음부터는 배송완료...더보기,2,21.01.09
모드나인,1037219,무릎발사 때문인지 바지 제봉선이 돌아갔네요..ㅠ 핏이 이상해졌어요..,2,21.03.03
모드나인,1037219,허벅지 단면길이 29인것만 믿고 샀는데 28도채 안되는게 왔네요; 너무꽉껴서 동생줬어요 색감이나 재질은<br>좋습니다.,2,21.02.17
모드나인,1037219,허벅지 단면길이 29인것만 믿고 샀는데 28도채 안되는게 왔네요; 너무꽉껴서 동생줬어요 색감이나 재질은<br>좋습니다,2,21.02.17
모드나인,1037219,모드나인을 좋아해서 5년가량 열벌정도 사서 입고있고 초창기 사무실에 샘플세일때도 가고 자주 애용하는데 일이<br>바빠 시켜놓고 거의 두달여만에 착용했는데 불량인지 바지길이가 짝짝이네요... 저한텐 기장도 너무 짧구요<br>교환이나 환불도 못하고 그냥 주변 친구한테 줘야겠어요. 믿고 입는 브랜드였는데 다음부터는 배송완료...더보기,2,21.01.09
모드나인,1037219,색은 밝은편이고 허벅지가 크네요 수선하고 입어야될듯,2,20.12.03
모드나인,1037219,종아리부분이 너무 크네용 핏이 사진과 다르게 안이뻐요,2,20.12.01
모드나인,1037219,허벅지가 좀 잇으신 분들이 입어야이뻐요<br>핏하게입으실분들음 비추요,2,20.12.01
모드나인,1037219,살짝무릅이 우는거같네요 핏은 벅지가두꺼워보이고 이게왜인기가많은지모르겠네요,2,20.11.27
모드나인,1037219,사람들이 갓크타운이라 부르길래 믿고 사봤는데 제가 다리가 얇은편이라 그런진 모르겠지만 통이 크고 핏이 잘<br>안나오네요 ㅠㅠ,2,20.11.17
모드나인,1037219,핏이랑 색감이 화면에 보이는거랑 달라요<br>바지통도 아쉽고 허리도 일반 33 사이즈보다 크네여<br>다른바지도 무신사에서 사봤는데 좀 많이 아쉽네요,2,20.11.04
모드나인,1037219,"밑위나 전체적인 핏이 별루 입니다,<br>워낙에 많이 사서 실망했습니다.",2,20.10.27
모드나인,1037219,솔직히 별루임 핏은 무난한데 제질이 좀 싼느낌남 싼맛에 사는거면 ㄱㅊ함,2,20.09.16
모드나인,1037219,살짝 타이트한 감이 있으니 구매하실분은 한치수 크게 사는거 추천드립니다.,2,20.09.05
모드나인,1037219,옷은 이쁘고 깔끔해서 좋은대 실측에서 나온 사이즈가 작게나온것 같습니다 입었을때 너무 꽉끼는 느낌이<br>없지않아 있습니다. 테이퍼드로 나왓는대 슬림핏인 느낌입니다 약간 x끼니진 느낌,2,20.07.31
모드나인,1037219,소문에 비해 가격생각하면 별로인듯<br>개체차이 심하고 돈값하는지는 잘<br>재질이 뻣뻣함,2,20.03.27
모드나인,1037219,솔직히 별루임 핏은 무난한데 제질이 좀 싼느낌남 싼맛에 사는거면 ㄱㅊ함,2,20.09.16
모드나인,1037219,살짝 타이트한 감이 있으니 구매하실분은 한치수 크게 사는거 추천드립니다.,2,20.09.05
모드나인,1037219,옷은 이쁘고 깔끔해서 좋은대 실측에서 나온 사이즈가 작게나온것 같습니다 입었을때 너무 꽉끼는 느낌이<br>없지않아 있습니다. 테이퍼드로 나왓는대 슬림핏인 느낌입니다 약간 x끼니진 느낌,2,20.07.31
모드나인,1037219,소문에 비해 가격생각하면 별로인듯<br>개체차이 심하고 돈값하는지는 잘<br>재질이 뻣뻣함,2,20.03.27
모드나인,1037219,소문에 비해 가격생각하면 별로인듯<br>개체차이 심하고 돈값하는지는 잘<br>재질이 뻣뻣함,2,20.03.27
모드나인,1037219,소문에 비해 가격생각하면 별로인듯<br>개체차이 심하고 돈값하는지는 잘<br>재질이 뻣뻣함,2,20.03.27
모드나인,1037219,통이 너무 넓어요 기장은 조금 길지만 통이좀 많이 큰느낌이네요,2,20.03.19
모드나인,1037219,사진이랑 색감이 좀 다르네요...그리고 생각보다 사이즈가 널널합니다.,2,20.01.06
모드나인,1037219,사진보다 많이 색깔이 밝네요 그래도 핏은 좋아요,2,20.01.04
모드나인,1037219,사진이랑 색감이 좀 다르네요...그리고 생각보다 사이즈가 널널합니다.,2,20.01.01
모드나인,1037219,기재되어있는 사이즈 보다 오버사이즈입니다 그래서 발목통이 너무커서 핏이 안예쁨,2,19.12.26
모드나인,1037219,정말 큽니다 사이즈 큰거 감안하시고 사셔야되요 마르신분들은 슬림스트레이트핏 안나옵니다 와이드핏<br>나올거에요,2,19.11.25
모드나인,1037219,색감이 그렇게 이쁜 것 같지는 않아요 신중하게 고민하고 구매하시길,2,19.11.23
모드나인,1037219,기대 이하임 나는 스티치가 흰색인줄 알았는데 노란색이네 ㄷㄷ기다려서 살정도는 아닌듯?,2,19.11.12
모드나인,1037219,정말 큽니다 사이즈 큰거 감안하시고 사셔야되요 마르신분들은 슬림스트레이트핏 안나옵니다 와이드핏<br>나올거에요,2,19.11.25
모드나인,1037219,색감이 그렇게 이쁜 것 같지는 않아요 신중하게 고민하고 구매하시길,2,19.11.23
모드나인,1037219,기대 이하임 나는 스티치가 흰색인줄 알았는데 노란색이네 ㄷㄷ기다려서 살정도는 아닌듯?,2,19.11.12
모드나인,1037219,색이 너무 밝게 나옴 중천진이 아니라 라이트진같음 난중청 있어서 그냥 라이트 하나 산 셈 쳐야할듯,2,19.11.11
모드나인,1037219,믿고사는 데님 모디파이드임미다 워싱 핏 잘빠졋지만 실측이 다른지 작네요,2,19.11.07
모드나인,1037219,바지는 좋은데 왜 수량 장난 치는지는 모르겠네요<br>그정도 바지는 아니고 그냥 보세 바지일 뿐이에요<br>정 사이즈 ㄱㄱ...더보기,2,19.10.18
모드나인,1037219,착용감도 좋고 워싱도 괜찮네요<br>정가는 좀 오바인거 같고 할인 잔뜩 먹여서 사면 좋을거 같아요ㅋ<br>근데 유투버빨 제대로 받고 떡상했는데 업체측 수량 장난 치는거 꼴보기 싫네요ㅎㅎ,2,19.10.14
모드나인,1037219,그냥 너무 평범한 보세 청바지일 뿐입니다<br>유투버 광고 영상에 혹해서 샀는데<br>그닥... 이쁜줄 모르겠어요... 걍 보세바지......더보기,2,19.10.14
모드나인,1037219,그냥 그저 그래여 한치수 작게 살 껄...후회중<br>사진은 딱 맞게 나왔지만 좀 큼 색도 좀 더 껌함,2,19.10.07
모드나인,1037219,생각보다 색이 완전 청바지네여.. 기대이하입니다,2,19.10.04
모드나인,1037219,뽑기 실패한듯 이쁘다는생각이 안듬 그냥 급하니까 막 만든느낌? 초판버전 기대하고 사는거라면 그냥 다른거<br>사시길,2,19.09.28
모드나인,1037219,생각했던 느낌이 아니어서 찾아보니 리오더판은 기장도 실측과 다르고 색감도 연해졌다네요,2,19.09.06
모드나인,1037219,그냥 너무 평범한 보세 청바지일 뿐입니다<br>유투버 광고 영상에 혹해서 샀는데<br>그닥... 이쁜줄 모르겠어요... 걍 보세바지......더보기,2,19.10.14
모드나인,1037219,그냥 그저 그래여 한치수 작게 살 껄...후회중<br>사진은 딱 맞게 나왔지만 좀 큼 색도 좀 더 껌함,2,19.10.07
모드나인,1037219,생각보다 색이 완전 청바지네여.. 기대이하입니다,2,19.10.04
모드나인,1037219,뽑기 실패한듯 이쁘다는생각이 안듬 그냥 급하니까 막 만든느낌? 초판버전 기대하고 사는거라면 그냥 다른거<br>사시길,2,19.09.28
모드나인,1037219,생각했던 느낌이 아니어서 찾아보니 리오더판은 기장도 실측과 다르고 색감도 연해졌다네요,2,19.09.06
모드나인,1037219,표기된 실측이랑 차이가 오지는데 반품 귀찮아서 그냥 짱박아두고있어요...,2,19.08.17
모드나인,1037219,너무 통이 넓고 쫙 붙는 데님인줄 알았는데 그런맛이 없어서 아쉬워요....,2,19.08.14
모드나인,1037219,한달동안 기다려서 받았습니다.<br>사이즈가 바뀐줄 모르고 조금 커도 이게 맞나? 싶어서 택 때고 입고 나갔다가 나중에야 바뀐걸알았네요......더보기,2,19.08.09
모드나인,1037219,기본적으로 재봉이나 이런 건 맘에 드는데 허리부분에서 쩐내? 같은 게 납니다. 특히 가죽패치 부분에서요.<br>빨래하면 괜찮아지겠지라고 생각해서 반품 안 하고 빨았는데도 냄새가 계속 납니다. 알콜 뿌리고 드라이기로<br>말리는 거 3회를 하고나서야 겨우 줄어들어서 입을 수 있는 수준이 되긴 했는데 아직도 냄새가 남아있어요.,3,24.04.29
모드나인,1037219,허벅지가 저한텐 좀 크네요. 상품 퀄리티나 배송은 만족 합니다.,3,23.04.07
모드나인,1037219,핏은 괜찮습니다 돼지인 저한테 맞을 정도면 사이즈 넉넉해요. 다만 키작남인 저에겐 기장이 길어서 4센치 수선<br>했습니다..,3,23.04.01
모드나인,1037219,색감은 괜찮지만 뒤에 빨간탭이 정리되다만 느낌이라 아쉽습니다,3,23.03.21
모드나인,1037219,쏘 쏘 합니다. 라이트하게 입으면 좋을것 같습니다,3,23.02.28
모드나인,1037219,색깔이 은근 밝아요..<br>그래서 원하는 색깔하고 조금 차이 잇어요<br>그래도 바지는 괜찮아요,3,23.02.07
모드나인,1037219,모드나인 베스트셀러로 후기 몇개만 읽어보고 주문했는데 확실히 많이 입는 이유가 있는 바지네요. 추천합니다,3,23.01.08
모드나인,1037219,허벅지가 저한텐 좀 크네요. 상품 퀄리티나 배송은 만족 합니다.,3,23.04.07
모드나인,1037219,핏은 괜찮습니다 돼지인 저한테 맞을 정도면 사이즈 넉넉해요. 다만 키작남인 저에겐 기장이 길어서 4센치 수선<br>했습니다..,3,23.04.01
모드나인,1037219,색감은 괜찮지만 뒤에 빨간탭이 정리되다만 느낌이라 아쉽습니다,3,23.03.21
모드나인,1037219,쏘 쏘 합니다. 라이트하게 입으면 좋을것 같습니다,3,23.02.28
모드나인,1037219,색깔이 은근 밝아요..<br>그래서 원하는 색깔하고 조금 차이 잇어요<br>그래도 바지는 괜찮아요,3,23.02.07
